aten_name,diopi_fun,args,count
neg.out,diopiNeg,"['self:[numel: 45056, sizes:@[1, 8, 88, 64]@, stride:@[90112, 11264, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 45056, sizes:@[1, 8, 88, 64]@, stride:@[45056, 5632, 64, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",869
neg.out,diopiNeg,"['self:[numel: 360448, sizes:@[1, 64, 88, 64]@, stride:@[720896, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 360448, sizes:@[1, 64, 88, 64]@, stride:@[360448, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",880
neg.out,diopiNeg,"['self:[numel: 589824, sizes:@[1, 64, 144, 64]@, stride:@[1179648, 128, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 589824, sizes:@[1, 64, 144, 64]@, stride:@[589824, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",480
neg.out,diopiNeg,"['self:[numel: 73728, sizes:@[1, 8, 144, 64]@, stride:@[147456, 128, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 73728, sizes:@[1, 8, 144, 64]@, stride:@[73728, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",6
neg.out,diopiNeg,"['self:[numel: 73728, sizes:@[1, 8, 144, 64]@, stride:@[147456, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 73728, sizes:@[1, 8, 144, 64]@, stride:@[73728, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",474
neg.out,diopiNeg,"['self:[numel: 73728, sizes:@[1, 8, 144, 64]@, stride:@[147456, 18432, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 73728, sizes:@[1, 8, 144, 64]@, stride:@[73728, 9216, 64, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",474
neg.out,diopiNeg,"['self:[numel: 589824, sizes:@[1, 64, 144, 64]@, stride:@[1179648, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 589824, sizes:@[1, 64, 144, 64]@, stride:@[589824, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",480
neg.out,diopiNeg,"['self:[numel: 262144, sizes:@[1, 64, 64, 64]@, stride:@[524288, 128, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 262144, sizes:@[1, 64, 64, 64]@, stride:@[262144, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",400
neg.out,diopiNeg,"['self:[numel: 32768, sizes:@[1, 8, 64, 64]@, stride:@[65536, 128, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 32768, sizes:@[1, 8, 64, 64]@, stride:@[32768, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",5
neg.out,diopiNeg,"['self:[numel: 32768, sizes:@[1, 8, 64, 64]@, stride:@[65536, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 32768, sizes:@[1, 8, 64, 64]@, stride:@[32768, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",395
neg.out,diopiNeg,"['self:[numel: 32768, sizes:@[1, 8, 64, 64]@, stride:@[65536, 8192, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 32768, sizes:@[1, 8, 64, 64]@, stride:@[32768, 4096, 64, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",395
neg.out,diopiNeg,"['self:[numel: 262144, sizes:@[1, 64, 64, 64]@, stride:@[524288, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 262144, sizes:@[1, 64, 64, 64]@, stride:@[262144, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",399
neg.out,diopiNeg,"['self:[numel: 491520, sizes:@[1, 64, 120, 64]@, stride:@[983040, 128, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 491520, sizes:@[1, 64, 120, 64]@, stride:@[491520, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",240
neg.out,diopiNeg,"['self:[numel: 61440, sizes:@[1, 8, 120, 64]@, stride:@[122880, 128, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 61440, sizes:@[1, 8, 120, 64]@, stride:@[61440, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",3
neg.out,diopiNeg,"['self:[numel: 61440, sizes:@[1, 8, 120, 64]@, stride:@[122880, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 61440, sizes:@[1, 8, 120, 64]@, stride:@[61440, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",237
neg.out,diopiNeg,"['self:[numel: 61440, sizes:@[1, 8, 120, 64]@, stride:@[122880, 15360, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 61440, sizes:@[1, 8, 120, 64]@, stride:@[61440, 7680, 64, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",237
neg.out,diopiNeg,"['self:[numel: 491520, sizes:@[1, 64, 120, 64]@, stride:@[983040, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 491520, sizes:@[1, 64, 120, 64]@, stride:@[491520, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",240
neg.out,diopiNeg,"['self:[numel: 786432, sizes:@[1, 64, 192, 64]@, stride:@[1572864, 128, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 786432, sizes:@[1, 64, 192, 64]@, stride:@[786432, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",160
neg.out,diopiNeg,"['self:[numel: 98304, sizes:@[1, 8, 192, 64]@, stride:@[196608, 128, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 98304, sizes:@[1, 8, 192, 64]@, stride:@[98304, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",2
neg.out,diopiNeg,"['self:[numel: 98304, sizes:@[1, 8, 192, 64]@, stride:@[196608, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 98304, sizes:@[1, 8, 192, 64]@, stride:@[98304, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",158
neg.out,diopiNeg,"['self:[numel: 98304, sizes:@[1, 8, 192, 64]@, stride:@[196608, 24576, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 98304, sizes:@[1, 8, 192, 64]@, stride:@[98304, 12288, 64, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",158
neg.out,diopiNeg,"['self:[numel: 786432, sizes:@[1, 64, 192, 64]@, stride:@[1572864, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 786432, sizes:@[1, 64, 192, 64]@, stride:@[786432, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",160
neg.out,diopiNeg,"['self:[numel: 622592, sizes:@[1, 64, 152, 64]@, stride:@[1245184, 128, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 622592, sizes:@[1, 64, 152, 64]@, stride:@[622592, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",160
neg.out,diopiNeg,"['self:[numel: 77824, sizes:@[1, 8, 152, 64]@, stride:@[155648, 128, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 77824, sizes:@[1, 8, 152, 64]@, stride:@[77824, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",2
neg.out,diopiNeg,"['self:[numel: 77824, sizes:@[1, 8, 152, 64]@, stride:@[155648, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 77824, sizes:@[1, 8, 152, 64]@, stride:@[77824, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",158
