aten_name,diopi_fun,args,count
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes: [1, 136, 8192], stride: [1114112, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[diopiMatmulBackward GradOther is nullptrnumel: 1114112, sizes: [1, 136, 8192], stride: [1114112, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes: [1, 160, 8192], stride: [1310720, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1310720, sizes: [1, 160, 8192], stride: [1310720, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1024, sizes: [1024], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1024, sizes: [1024], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes: [1, 64, 112, 128], stride: [917504, 14336, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 917504, sizes: [1, 64, 112, 128], stride: [917504, 128, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes: [1, 136, 8192], stride: [1114112, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1114112, sizes: [1, 136, 8192], stride: [1114112, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes: [1, 88, 8192], stride: [720896, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 720896, sizes: [1, 88, 8192], stride: [720896, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 114688, sizes: [1, 112, 1024], stride: [114688, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 114688, sizes: [1, 112, 1024], stride: [114688, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes: [1, 136, 8192], stride: [1114112, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1114112, sizes: [1, 136, 8192], stride: [1114112, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes: [1, 160, 8192], stride: [1310720, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1310720, sizes: [1, 160, 8192], stride: [1310720, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
copy_,diopiCopyInp,[],16361
