aten_name,diopi_fun,args,count
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @other:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @alpha:[1] ']",160
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",555
add_.Tensor,diopiAddInp,"['self:[numel: 163840, sizes:@[1, 8, 160, 128]@, stride:@[163840, 20480, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 163840, sizes:@[1, 8, 160, 128]@, stride:@[163840, 20480, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",158
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes:@[1, 64, 160, 128]@, stride:@[1310720, 20480, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1310720, sizes:@[1, 64, 160, 128]@, stride:@[1310720, 20480, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes:@[1, 64, 160, 128]@, stride:@[1310720, 20480, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1310720, sizes:@[1, 64, 160, 128]@, stride:@[1310720, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 8192, sizes:@[8192]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 8192, sizes:@[8192]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",720
add_.Tensor,diopiAddInp,"['self:[numel: 1024, sizes:@[1024]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1024, sizes:@[1024]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",240
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 90112, sizes:@[1, 88, 1024]@, stride:@[90112, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 90112, sizes:@[1, 88, 1024]@, stride:@[90112, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
add_.Tensor,diopiAddInp,"['self:[numel: 90112, sizes:@[1, 88, 1024]@, stride:@[90112, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 90112, sizes:@[1, 88, 1024]@, stride:@[90112, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @other:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @alpha:[1] ']",160
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 720896, sizes:@[1, 88, 8192]@, stride:@[720896, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",555
add_.Tensor,diopiAddInp,"['self:[numel: 90112, sizes:@[1, 8, 88, 128]@, stride:@[90112, 11264, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 90112, sizes:@[1, 8, 88, 128]@, stride:@[90112, 11264, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",158
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes:@[1, 64, 88, 128]@, stride:@[720896, 11264, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 720896, sizes:@[1, 64, 88, 128]@, stride:@[720896, 11264, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes:@[1, 64, 88, 128]@, stride:@[720896, 11264, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 720896, sizes:@[1, 64, 88, 128]@, stride:@[720896, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 139264, sizes:@[1, 136, 1024]@, stride:@[139264, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 139264, sizes:@[1, 136, 1024]@, stride:@[139264, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
add_.Tensor,diopiAddInp,"['self:[numel: 139264, sizes:@[1, 136, 1024]@, stride:@[139264, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 139264, sizes:@[1, 136, 1024]@, stride:@[139264, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @other:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @alpha:[1] ']",159
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",555
add_.Tensor,diopiAddInp,"['self:[numel: 139264, sizes:@[1, 8, 136, 128]@, stride:@[139264, 17408, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 139264, sizes:@[1, 8, 136, 128]@, stride:@[139264, 17408, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",158
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes:@[1, 64, 136, 128]@, stride:@[1114112, 17408, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1114112, sizes:@[1, 64, 136, 128]@, stride:@[1114112, 17408, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes:@[1, 64, 136, 128]@, stride:@[1114112, 17408, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1114112, sizes:@[1, 64, 136, 128]@, stride:@[1114112, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @other:[diopiMatmulBackward GradOther is nullptrnumel: 1114112, sizes:@[1, 136, 8192]@, stride:@[1114112, 8192, 1]@, dtype: float, memory_format: Contiguous, ] ']",1
copy_,diopiCopyInp,[],16360
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] @other:[0.581766] @alpha:[1] ']",1
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] @other:[0.488464] @alpha:[1] ']",1
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] @other:[0.660112] @alpha:[1] ']",1
add_.Scalar,diopiAddInpScalar,"['self:[numel: 1, sizes:@[]@, stride:@[]@, dtype: float, memory_format: Contiguous, ] @other:[0.545359] @alpha:[1] ']",1
cat.out,diopiCat,"['tensors:[numel: 8388608, sizes:@[8388608]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 1024, sizes:@[1024]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 8192, sizes:@[8192]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , ] @dim:[0] @out:[numel: 8397824, sizes:@[8397824]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
cat.out,diopiCat,"['tensors:[numel: 1048576, sizes:@[1048576]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 1048576, sizes:@[1048576]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 8388608, sizes:@[8388608]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 8192, sizes:@[8192]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 8192, sizes:@[8192]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 1024, sizes:@[1024]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , ] @dim:[0] @out:[numel: 10503168, sizes:@[10503168]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
cat.out,diopiCat,"['tensors:[numel: 29360128, sizes:@[29360128]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , numel: 1024, sizes:@[1024]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, , ] @dim:[0] @out:[numel: 29361152, sizes:@[29361152]@, stride:@[1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",80
